participant_id,age,gender,nationality,language_experience,condition_order,session_id,marker_id,object_name,target_word,modality,phase,word_shown_at,recall_id,audio_file_path,voice_recorded_at
1,27,f,German,"German, English, French",tradtional-first,4,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:26,4.0,voice_recordings/P001_20251212_125032_911_JACKET_ID_6_jachetă.m4a,2025-12-12 11:50:32
1,27,f,German,"German, English, French",tradtional-first,5,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:35,5.0,voice_recordings/P001_20251212_125041_789_CUCUMBER_ID_5_castravete.m4a,2025-12-12 11:50:41
1,27,f,German,"German, English, French",tradtional-first,6,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 11:50:45,6.0,voice_recordings/P001_20251212_125050_905_SPOON_ID_4_lingură.m4a,2025-12-12 11:50:50
1,27,f,German,"German, English, French",tradtional-first,7,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:29,7.0,voice_recordings/P001_20251212_125235_488_SHOES_ID_3_pantofi.m4a,2025-12-12 11:52:35
1,27,f,German,"German, English, French",tradtional-first,8,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:39,8.0,voice_recordings/P001_20251212_125244_389_APPLE_ID_2_măr.m4a,2025-12-12 11:52:44
1,27,f,German,"German, English, French",tradtional-first,9,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 11:52:49,9.0,voice_recordings/P001_20251212_125254_819_CUP_ID_1_cupă.m4a,2025-12-12 11:52:54
2,26,f,Indian,"Hindi, English, French",tradtional-first,15,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:09,14.0,voice_recordings/P002_20251212_132618_639_JACKET_ID_6_jachetă.m4a,2025-12-12 12:26:18
2,26,f,Indian,"Hindi, English, French",tradtional-first,16,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:24,15.0,voice_recordings/P002_20251212_132635_226_CUCUMBER_ID_5_castravete.m4a,2025-12-12 12:26:35
2,26,f,Indian,"Hindi, English, French",tradtional-first,17,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 12:26:41,16.0,voice_recordings/P002_20251212_132646_876_SPOON_ID_4_lingură.m4a,2025-12-12 12:26:46
2,26,f,Indian,"Hindi, English, French",tradtional-first,18,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 12:26:57,17.0,voice_recordings/P002_20251212_132705_392_SHOES_ID_3_pantofi.m4a,2025-12-12 12:27:05
