recall_id,session_id,participant_id,marker_id,target_word,audio_file_path,timestamp
1,1,1,PRACTICE_PEAR,pară,voice_recordings/P001_20251212_124912_407_PRACTICE_PEAR_pară.m4a,2025-12-12 11:49:12
2,2,1,PRACTICE_PEAR,pară,voice_recordings/P001_20251212_124928_058_PRACTICE_PEAR_pară.m4a,2025-12-12 11:49:28
3,3,1,PRACTICE_GLOVES,mânuși,voice_recordings/P001_20251212_124938_719_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 11:49:38
4,4,1,JACKET_ID_6,jachetă,voice_recordings/P001_20251212_125032_911_JACKET_ID_6_jachetă.m4a,2025-12-12 11:50:32
5,5,1,CUCUMBER_ID_5,castravete,voice_recordings/P001_20251212_125041_789_CUCUMBER_ID_5_castravete.m4a,2025-12-12 11:50:41
6,6,1,SPOON_ID_4,lingură,voice_recordings/P001_20251212_125050_905_SPOON_ID_4_lingură.m4a,2025-12-12 11:50:50
7,7,1,SHOES_ID_3,pantofi,voice_recordings/P001_20251212_125235_488_SHOES_ID_3_pantofi.m4a,2025-12-12 11:52:35
8,8,1,APPLE_ID_2,măr,voice_recordings/P001_20251212_125244_389_APPLE_ID_2_măr.m4a,2025-12-12 11:52:44
9,9,1,CUP_ID_1,cupă,voice_recordings/P001_20251212_125254_819_CUP_ID_1_cupă.m4a,2025-12-12 11:52:54
10,11,2,PRACTICE_GLOVES,mânuși,voice_recordings/P002_20251212_132459_239_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 12:24:59
11,12,2,PRACTICE_GLOVES,mânuși,voice_recordings/P002_20251212_132526_424_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 12:25:26
12,13,2,PRACTICE_PEAR,pară,voice_recordings/P002_20251212_132536_230_PRACTICE_PEAR_pară.m4a,2025-12-12 12:25:36
13,14,2,PRACTICE_PEAR,pară,voice_recordings/P002_20251212_132607_889_PRACTICE_PEAR_pară.m4a,2025-12-12 12:26:07
14,15,2,JACKET_ID_6,jachetă,voice_recordings/P002_20251212_132618_639_JACKET_ID_6_jachetă.m4a,2025-12-12 12:26:18
15,16,2,CUCUMBER_ID_5,castravete,voice_recordings/P002_20251212_132635_226_CUCUMBER_ID_5_castravete.m4a,2025-12-12 12:26:35
16,17,2,SPOON_ID_4,lingură,voice_recordings/P002_20251212_132646_876_SPOON_ID_4_lingură.m4a,2025-12-12 12:26:46
17,18,2,SHOES_ID_3,pantofi,voice_recordings/P002_20251212_132705_392_SHOES_ID_3_pantofi.m4a,2025-12-12 12:27:05
18,19,2,CUP_ID_1,cupă,voice_recordings/P002_20251212_132721_926_CUP_ID_1_cupă.m4a,2025-12-12 12:27:21
19,20,2,APPLE_ID_2,măr,voice_recordings/P002_20251212_132734_652_APPLE_ID_2_măr.m4a,2025-12-12 12:27:34
20,21,3,PRACTICE_PEAR,pară,voice_recordings/P003_20251212_134733_963_PRACTICE_PEAR_pară.m4a,2025-12-12 12:47:33
21,22,3,PRACTICE_PEAR,pară,voice_recordings/P003_20251212_134805_516_PRACTICE_PEAR_pară.m4a,2025-12-12 12:48:05
22,23,3,PRACTICE_PEAR,pară,voice_recordings/P003_20251212_134846_856_PRACTICE_PEAR_pară.m4a,2025-12-12 12:48:46
23,24,3,PRACTICE_PEAR,pară,voice_recordings/P003_20251212_134855_892_PRACTICE_PEAR_pară.m4a,2025-12-12 12:48:55
24,25,3,PRACTICE_GLOVES,mânuși,voice_recordings/P003_20251212_134920_171_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 12:49:20
25,26,3,JACKET_ID_6,jachetă,voice_recordings/P003_20251212_135032_048_JACKET_ID_6_jachetă.m4a,2025-12-12 12:50:32
26,27,3,CUCUMBER_ID_5,castravete,voice_recordings/P003_20251212_135056_633_CUCUMBER_ID_5_castravete.m4a,2025-12-12 12:50:56
27,28,3,SPOON_ID_4,lingură,voice_recordings/P003_20251212_135109_828_SPOON_ID_4_lingură.m4a,2025-12-12 12:51:09
28,29,3,SHOES_ID_3,pantofi,voice_recordings/P003_20251212_135127_999_SHOES_ID_3_pantofi.m4a,2025-12-12 12:51:28
29,30,3,APPLE_ID_2,măr,voice_recordings/P003_20251212_135140_882_APPLE_ID_2_măr.m4a,2025-12-12 12:51:40
30,31,3,CUP_ID_1,cupă,voice_recordings/P003_20251212_135201_160_CUP_ID_1_cupă.m4a,2025-12-12 12:52:01
31,32,4,PRACTICE_PEAR,pară,voice_recordings/P004_20251212_164726_781_PRACTICE_PEAR_pară.m4a,2025-12-12 15:47:26
32,33,4,PRACTICE_GLOVES,mânuși,voice_recordings/P004_20251212_165037_086_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 15:50:37
33,34,4,PRACTICE_GLOVES,mânuși,voice_recordings/P004_20251212_165052_775_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 15:50:52
34,35,4,PRACTICE_GLOVES,mânuși,voice_recordings/P004_20251212_165109_780_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 15:51:09
35,36,4,PRACTICE_PEAR,pară,voice_recordings/P004_20251212_165123_426_PRACTICE_PEAR_pară.m4a,2025-12-12 15:51:23
36,37,4,PRACTICE_PEAR,pară,voice_recordings/P004_20251212_165133_560_PRACTICE_PEAR_pară.m4a,2025-12-12 15:51:33
37,38,4,JACKET_ID_6,jachetă,voice_recordings/P004_20251212_165213_656_JACKET_ID_6_jachetă.m4a,2025-12-12 15:52:13
38,39,4,CUCUMBER_ID_5,castravete,voice_recordings/P004_20251212_165235_771_CUCUMBER_ID_5_castravete.m4a,2025-12-12 15:52:35
39,40,4,SPOON_ID_4,lingură,voice_recordings/P004_20251212_165251_630_SPOON_ID_4_lingură.m4a,2025-12-12 15:52:51
40,41,4,SHOES_ID_3,pantofi,voice_recordings/P004_20251212_165313_447_SHOES_ID_3_pantofi.m4a,2025-12-12 15:53:13
41,42,4,APPLE_ID_2,măr,voice_recordings/P004_20251212_165325_983_APPLE_ID_2_măr.m4a,2025-12-12 15:53:25
42,43,4,CUP_ID_1,cupă,voice_recordings/P004_20251212_165340_787_CUP_ID_1_cupă.m4a,2025-12-12 15:53:40
43,44,5,PRACTICE_GLOVES,mânuși,voice_recordings/P005_20251212_165504_095_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 15:55:04
44,45,5,PRACTICE_PEAR,pară,voice_recordings/P005_20251212_165829_480_PRACTICE_PEAR_pară.m4a,2025-12-12 15:58:29
45,46,5,PRACTICE_GLOVES,mânuși,voice_recordings/P005_20251212_165845_794_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 15:58:45
46,47,5,JACKET_ID_6,jachetă,voice_recordings/P005_20251212_165926_572_JACKET_ID_6_jachetă.m4a,2025-12-12 15:59:26
47,48,5,CUCUMBER_ID_5,castravete,voice_recordings/P005_20251212_165945_144_CUCUMBER_ID_5_castravete.m4a,2025-12-12 15:59:45
48,49,5,SPOON_ID_4,lingură,voice_recordings/P005_20251212_170000_173_SPOON_ID_4_lingură.m4a,2025-12-12 16:00:00
49,50,5,SHOES_ID_3,pantofi,voice_recordings/P005_20251212_170021_141_SHOES_ID_3_pantofi.m4a,2025-12-12 16:00:21
50,51,5,APPLE_ID_2,măr,voice_recordings/P005_20251212_170038_003_APPLE_ID_2_măr.m4a,2025-12-12 16:00:38
51,52,5,CUP_ID_1,cupă,voice_recordings/P005_20251212_170050_582_CUP_ID_1_cupă.m4a,2025-12-12 16:00:50
52,53,5,PRACTICE_PEAR,pară,voice_recordings/P005_20251212_170215_972_PRACTICE_PEAR_pară.m4a,2025-12-12 16:02:15
53,54,5,PRACTICE_GLOVES,mânuși,voice_recordings/P005_20251212_170620_349_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:06:20
54,55,5,PRACTICE_PEAR,pară,voice_recordings/P005_20251212_170630_310_PRACTICE_PEAR_pară.m4a,2025-12-12 16:06:30
55,56,5,PRACTICE_GLOVES,mânuși,voice_recordings/P005_20251212_170645_050_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:06:45
56,57,5,SHOES_ID_3,pantofi,voice_recordings/P005_20251212_170723_454_SHOES_ID_3_pantofi.m4a,2025-12-12 16:07:23
57,58,5,APPLE_ID_2,măr,voice_recordings/P005_20251212_170736_001_APPLE_ID_2_măr.m4a,2025-12-12 16:07:36
58,59,5,CUP_ID_1,cupă,voice_recordings/P005_20251212_170746_686_CUP_ID_1_cupă.m4a,2025-12-12 16:07:46
59,60,5,JACKET_ID_6,jachetă,voice_recordings/P005_20251212_170758_479_JACKET_ID_6_jachetă.m4a,2025-12-12 16:07:58
60,61,5,CUCUMBER_ID_5,castravete,voice_recordings/P005_20251212_170808_919_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:08:08
61,62,5,SPOON_ID_4,lingură,voice_recordings/P005_20251212_170819_372_SPOON_ID_4_lingură.m4a,2025-12-12 16:08:19
62,63,7,PRACTICE_GLOVES,mânuși,voice_recordings/P007_20251212_171331_948_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:13:31
63,64,7,PRACTICE_GLOVES,mânuși,voice_recordings/P007_20251212_171343_488_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:13:43
64,65,7,PRACTICE_GLOVES,mânuși,voice_recordings/P007_20251212_171352_395_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:13:52
65,66,7,PRACTICE_PEAR,pară,voice_recordings/P007_20251212_171409_926_PRACTICE_PEAR_pară.m4a,2025-12-12 16:14:09
66,67,7,SHOES_ID_3,pantofi,voice_recordings/P007_20251212_171438_159_SHOES_ID_3_pantofi.m4a,2025-12-12 16:14:38
67,68,7,APPLE_ID_2,măr,voice_recordings/P007_20251212_171449_695_APPLE_ID_2_măr.m4a,2025-12-12 16:14:49
68,69,7,CUP_ID_1,cupă,voice_recordings/P007_20251212_171506_603_CUP_ID_1_cupă.m4a,2025-12-12 16:15:06
69,70,7,JACKET_ID_6,jachetă,voice_recordings/P007_20251212_171523_945_JACKET_ID_6_jachetă.m4a,2025-12-12 16:15:23
70,71,7,CUCUMBER_ID_5,castravete,voice_recordings/P007_20251212_171537_158_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:15:37
71,72,7,SPOON_ID_4,lingură,voice_recordings/P007_20251212_171552_101_SPOON_ID_4_lingură.m4a,2025-12-12 16:15:52
72,73,8,PRACTICE_GLOVES,mânuși,voice_recordings/P008_20251212_171842_425_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:18:42
73,74,8,PRACTICE_GLOVES,mânuși,voice_recordings/P008_20251212_171923_247_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:19:23
74,75,8,PRACTICE_PEAR,pară,voice_recordings/P008_20251212_171940_974_PRACTICE_PEAR_pară.m4a,2025-12-12 16:19:40
75,76,8,SHOES_ID_3,pantofi,voice_recordings/P008_20251212_172013_332_SHOES_ID_3_pantofi.m4a,2025-12-12 16:20:13
76,77,8,APPLE_ID_2,măr,voice_recordings/P008_20251212_172025_032_APPLE_ID_2_măr.m4a,2025-12-12 16:20:25
77,78,8,CUP_ID_1,cupă,voice_recordings/P008_20251212_172034_822_CUP_ID_1_cupă.m4a,2025-12-12 16:20:34
78,79,8,JACKET_ID_6,jachetă,voice_recordings/P008_20251212_172049_959_JACKET_ID_6_jachetă.m4a,2025-12-12 16:20:49
79,80,8,CUCUMBER_ID_5,castravete,voice_recordings/P008_20251212_172101_243_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:21:01
80,81,8,SPOON_ID_4,lingură,voice_recordings/P008_20251212_172113_936_SPOON_ID_4_lingură.m4a,2025-12-12 16:21:13
81,82,9,PRACTICE_GLOVES,mânuși,voice_recordings/P009_20251212_172959_055_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:29:59
82,83,9,PRACTICE_GLOVES,mânuși,voice_recordings/P009_20251212_173009_462_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 16:30:09
83,84,9,PRACTICE_PEAR,pară,voice_recordings/P009_20251212_173031_079_PRACTICE_PEAR_pară.m4a,2025-12-12 16:30:31
84,85,9,SHOES_ID_3,pantofi,voice_recordings/P009_20251212_173157_960_SHOES_ID_3_pantofi.m4a,2025-12-12 16:31:57
85,86,9,APPLE_ID_2,măr,voice_recordings/P009_20251212_173210_327_APPLE_ID_2_măr.m4a,2025-12-12 16:32:10
86,87,9,CUP_ID_1,cupă,voice_recordings/P009_20251212_173221_822_CUP_ID_1_cupă.m4a,2025-12-12 16:32:21
87,88,9,JACKET_ID_6,jachetă,voice_recordings/P009_20251212_173235_225_JACKET_ID_6_jachetă.m4a,2025-12-12 16:32:35
88,89,9,CUCUMBER_ID_5,castravete,voice_recordings/P009_20251212_173247_032_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:32:47
89,90,9,SPOON_ID_4,lingură,voice_recordings/P009_20251212_173256_156_SPOON_ID_4_lingură.m4a,2025-12-12 16:32:56
90,91,10,PRACTICE_GLOVES,mânuși,voice_recordings/P010_20251212_181725_210_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 17:17:25
91,92,10,PRACTICE_GLOVES,mânuși,voice_recordings/P010_20251212_181743_828_PRACTICE_GLOVES_mânuși.m4a,2025-12-12 17:17:43
92,93,10,PRACTICE_PEAR,pară,voice_recordings/P010_20251212_181758_607_PRACTICE_PEAR_pară.m4a,2025-12-12 17:17:58
93,94,10,SHOES_ID_3,pantofi,voice_recordings/P010_20251212_181825_106_SHOES_ID_3_pantofi.m4a,2025-12-12 17:18:25
94,95,10,APPLE_ID_2,măr,voice_recordings/P010_20251212_181837_685_APPLE_ID_2_măr.m4a,2025-12-12 17:18:37
95,96,10,CUP_ID_1,cupă,voice_recordings/P010_20251212_181849_361_CUP_ID_1_cupă.m4a,2025-12-12 17:18:49
96,97,10,JACKET_ID_6,jachetă,voice_recordings/P010_20251212_181901_647_JACKET_ID_6_jachetă.m4a,2025-12-12 17:19:01
97,98,10,CUCUMBER_ID_5,castravete,voice_recordings/P010_20251212_181910_729_CUCUMBER_ID_5_castravete.m4a,2025-12-12 17:19:10
98,99,10,SPOON_ID_4,lingură,voice_recordings/P010_20251212_181921_921_SPOON_ID_4_lingură.m4a,2025-12-12 17:19:21
99,100,10,PRACTICE_PEAR,pară,voice_recordings/P010_20251215_181848_990_PRACTICE_PEAR_pară.m4a,2025-12-15 17:18:48
100,101,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_182643_338_PRACTICE_PEAR_pară.m4a,2025-12-15 17:26:43
101,103,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_185742_532_PRACTICE_PEAR_pară.m4a,2025-12-15 17:57:42
