participant_id;age;gender;nationality;language_experience;condition_order;session_id;marker_id;object_name;target_word;modality;phase;word_shown_at;recall_id;audio_file_path;voice_recorded_at;pronounciation_score;recall_binary
1;27;f;German;German, English, French;tradtional-first;4;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 11:50;40;voice_recordings/P001_20251212_125032_911_JACKET_ID_6_jachetă.m4a;12.12.25 11:50;100;1
1;27;f;German;German, English, French;tradtional-first;5;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 11:50;50;voice_recordings/P001_20251212_125041_789_CUCUMBER_ID_5_castravete.m4a;12.12.25 11:50;100;1
1;27;f;German;German, English, French;tradtional-first;6;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 11:50;60;voice_recordings/P001_20251212_125050_905_SPOON_ID_4_lingură.m4a;12.12.25 11:50;100;1
1;27;f;German;German, English, French;tradtional-first;7;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 11:52;70;voice_recordings/P001_20251212_125235_488_SHOES_ID_3_pantofi.m4a;12.12.25 11:52;80;1
1;27;f;German;German, English, French;tradtional-first;8;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 11:52;80;voice_recordings/P001_20251212_125244_389_APPLE_ID_2_măr.m4a;12.12.25 11:52;95;1
1;27;f;German;German, English, French;tradtional-first;9;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 11:52;90;voice_recordings/P001_20251212_125254_819_CUP_ID_1_cupă.m4a;12.12.25 11:52;100;1
2;26;f;Indian;Hindi, English, French;tradtional-first;15;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:26;140;voice_recordings/P002_20251212_132618_639_JACKET_ID_6_jachetă.m4a;12.12.25 12:26;100;1
2;26;f;Indian;Hindi, English, French;tradtional-first;16;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:26;150;voice_recordings/P002_20251212_132635_226_CUCUMBER_ID_5_castravete.m4a;12.12.25 12:26;100;0
2;26;f;Indian;Hindi, English, French;tradtional-first;17;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:26;160;voice_recordings/P002_20251212_132646_876_SPOON_ID_4_lingură.m4a;12.12.25 12:26;80;0
2;26;f;Indian;Hindi, English, French;tradtional-first;18;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 12:26;170;voice_recordings/P002_20251212_132705_392_SHOES_ID_3_pantofi.m4a;12.12.25 12:27;85;0
2;26;f;Indian;Hindi, English, French;tradtional-first;19;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 12:27;180;voice_recordings/P002_20251212_132721_926_CUP_ID_1_cupă.m4a;12.12.25 12:27;100;1
2;26;f;Indian;Hindi, English, French;tradtional-first;20;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 12:27;190;voice_recordings/P002_20251212_132734_652_APPLE_ID_2_măr.m4a;12.12.25 12:27;100;1
3;24;f;Italian;Italian, English;tradtional-first;26;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:50;250;voice_recordings/P003_20251212_135032_048_JACKET_ID_6_jachetă.m4a;12.12.25 12:50;100;1
3;24;f;Italian;Italian, English;tradtional-first;27;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:50;260;voice_recordings/P003_20251212_135056_633_CUCUMBER_ID_5_castravete.m4a;12.12.25 12:50;100;0
3;24;f;Italian;Italian, English;tradtional-first;28;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 12:51;270;voice_recordings/P003_20251212_135109_828_SPOON_ID_4_lingură.m4a;12.12.25 12:51;100;1
3;24;f;Italian;Italian, English;tradtional-first;29;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 12:51;280;voice_recordings/P003_20251212_135127_999_SHOES_ID_3_pantofi.m4a;12.12.25 12:51;95;1
3;24;f;Italian;Italian, English;tradtional-first;30;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 12:51;290;voice_recordings/P003_20251212_135140_882_APPLE_ID_2_măr.m4a;12.12.25 12:51;100;1
